variety,n_temps,temps,deltaT,Psi_n,lambda_min,cond,inv_CV_Ea,Ea_boot,realCV_Ea,realSE_Ea,crit_E,crit_D,crit_A,crit_c_deg,crit_c_krug,crit_c_Ea,crit_cond,crit__lambda_min,crit__align_krug_vs_vmin_abscos
Royal Gala,3,2/6/8,6,0.1482443848977169,0.0098829589931811,93407.21345817285,0.108184651870309,83.2172096847906,1.4898710434550166,115.76608228605664,0.0005716468941716117,0.17471011774975834,0.0011432815485847043,0.0005716468941706049,0.0005716468941828293,0.000678302783202987,93407.2134586302,3.8109792944774116e-05,0.9999999999893076
Royal Gala,2,2/10,8,0.1668092091938801,0.016680920919388,36867.910864270896,0.1052374667544694,67.07648136147793,1.5618095884302887,94.87017593291404,0.0006432349287366764,0.12350765719715157,0.0012864349643935936,0.0006432349287368127,0.0006432349288247091,0.0007627070693164548,36867.91086430017,6.432349287366765e-05,0.9999999999316744
Royal Gala,4,4/6/8/10,6,0.2057566496640453,0.0102878324832022,119417.76631502184,0.1535962487520212,58.015689760921525,2.441063416442214,102.48238387593078,0.0007934206062344879,0.2741813732490631,0.0015868279244314193,0.0007934206062351609,0.0007934206062454181,0.0009396928179592753,119417.76631479694,3.96710303117244e-05,0.9999999999935361
Royal Gala,4,2/4/6/8,6,0.211264722140233,0.0105632361070116,116565.64009920708,0.1068088861379991,81.90864247375022,1.48317991783683,111.67774514337684,0.0008146603484719206,0.2781389783458213,0.001629306719357455,0.0008146603484737015,0.0008146603484849146,0.0009670161409407151,116565.64009950096,4.073301742359603e-05,0.9999999999931181
Royal Gala,3,2/6/10,8,0.2502367244071403,0.0166824482938093,55295.52463400804,0.1052634864858499,67.11176700765114,1.6244371644786837,87.48285069089653,0.0009649407389972083,0.22690581915381253,0.001929846577400019,0.0009649407389963052,0.0009649407390549129,0.001144138905908059,55295.524634135654,6.432938259981389e-05,0.9999999999696311
Royal Gala,3,2/4/10,8,0.2699744615743864,0.0179982974382924,51291.56186656279,0.105816133302512,64.31449864687032,1.4990606689423254,82.97731611730308,0.001041051656506643,0.23577363622820005,0.0020820627203189056,0.0010410516565068889,0.00104105165658073,0.001235315723117058,51291.56186650637,6.940344376710953e-05,0.9999999999645343
Royal Gala,3,2/8/10,8,0.2721725298278768,0.0181448353218584,50801.2726263271,0.0967429980015578,70.54498543535938,1.3198253373588342,86.78969409685708,0.0010495276530250314,0.2365544824498863,0.002099013987910164,0.0010495276530240324,0.0010495276530991982,0.0012435116259363007,50801.27262628063,6.996851020166876e-05,0.9999999999641901
Royal Gala,4,2/4/6/10,8,0.3639726074795837,0.0181986303739791,67622.37528044716,0.1037773973103834,65.32558383293816,1.48432465140868,78.2866352975657,0.0014035189985344373,0.3649753271828118,0.002806996487194827,0.0014035189985359645,0.0014035189985931653,0.0016650873681525048,67622.37528053446,7.017594992672186e-05,0.9999999999796219
Royal Gala,4,2/6/8/10,8,0.3658759115297561,0.0182937955764878,67195.16452280236,0.0960781136503563,70.04446214618793,1.2813228554466032,85.35552984798292,0.0014108583513812224,0.36572312671100227,0.0028216747105358994,0.0014108583513822576,0.0014108583514400757,0.001671917567640898,67195.1645230916,7.054291756906111e-05,0.9999999999795093
Royal Gala,4,2/4/8/10,8,0.4170274511183482,0.0208513725559174,58986.49666565016,0.0926059153415692,68.63190373566081,1.2146780132817945,73.65827708454727,0.0016081043972198837,0.39056249918533764,0.0032161542708716295,0.0016081043972198893,0.0016081043973057187,0.0019067383221237114,58986.4966656747,8.040521986099418e-05,0.999999999973313
Royal Gala,5,2/4/6/8/10,8,0.5213022118247133,0.0208520884729885,73729.95014589617,0.0935533384076519,68.58559125661827,1.1808407816789177,71.46446939906238,0.0020101995129271424,0.5458346902075879,0.004020344497887193,0.0020101995129285168,0.002010199512997185,0.0023834840722721067,73729.9501459639,8.04079805170857e-05,0.9999999999829199
