n_T,dT,N_obs,Ea_true,Psi,cond,D,coverage,cov_t,cov_z,cov_znodf,rmse_Ea,bias_Ea,reported_halfwidth,true_sd,R2,n_ok,relerr_Ea,SE_ratio
3,7.055466966548126,301.0,35.93944940485713,24.624557137008694,57546.139695536614,5907.129970523243,0.9475,0.9475,0.695,0.5725,0.6681379686049549,-0.024129536420519456,6.448778467408481,0.6677021121455933,0.9997996587120055,400,0.018590656776023333,4.9276361954942285
4,10.723596830848246,148.0,62.39479062690479,8.997414679336309,34973.46963422462,1682.624068746474,0.945,0.945,0.775,0.6575,0.940969057710557,0.018475826474587613,2.7719962513587753,0.9407876547897378,0.9997828681356264,400,0.015080891341348757,1.5032975767839425
5,5.606274176232958,427.0,19.199915830452685,9.148607461161976,157032.43848148215,3625.3478323053077,0.97,0.97,0.94,0.875,1.1233444421774128,0.04176181284641298,3.844437683752747,1.1225678985071077,0.9885286151996753,400,0.05850777951826715,1.7472865565116773
4,16.832524781107153,348.0,36.39108540783404,603.1673846622646,16476.43556306201,77422.90843683112,0.935,0.935,0.795,0.69,0.14715899951952016,0.018096214832152225,0.5102720169447978,0.14604211087331878,0.9999787740808284,400,0.004043820014443447,1.78265614096739
5,5.107685128411195,228.0,58.378761939489834,0.8248750116452579,146200.39103979454,315.40052697145234,0.975,0.975,0.9,0.845,2.880133365400869,0.021451506208248858,9.401164130142824,2.880053477867509,0.9924607123986218,400,0.049335293687559796,1.6654247388659127
3,16.409506789492678,84.0,51.42627951670949,0.779342855883835,13730.232804998062,91.32033777175042,0.96,0.96,0.7025,0.5325,2.7436383641483406,0.13444273812156765,22.338546306100604,2.7403424281269957,0.9987914768677739,400,0.05335090132773214,4.15904865980653
4,25.553887355766424,426.0,59.53554755511838,15.17200754296704,6566.196036285184,1229.4191461625996,0.9575,0.9575,0.76,0.6225,1.1879754514723262,0.002022796874555226,3.48175530737963,1.1879737293365042,0.9996347172677144,400,0.01995405266698003,1.495324118037005
6,2.3045454157288994,196.0,45.50552520159851,0.01613920857580144,1095842.3950420415,16.89492558657638,0.9525,0.9525,0.89,0.815,20.5364008691028,1.0366206553721564,48.83180843632816,20.510221312149262,0.6196405674283476,400,0.4512946675842651,1.2147205824132423
3,6.640657401806531,184.0,51.903372177786586,4.697083795888382,62465.569998518746,1173.947463211622,0.9575,0.9575,0.7375,0.605,1.7002140993833779,0.059230510753279585,17.010909519153827,1.699182076864612,0.9993417720760202,400,0.03275729549054289,5.107772490733237
6,6.023336904044116,330.0,39.6793701570279,4.815048558792211,147389.5054647918,1848.561705796049,0.9375,0.9375,0.8125,0.74,1.5726275763505155,-0.07714826831516845,3.1307345980920975,1.570734108178105,0.9968775844892142,400,0.039633380523102286,1.0169216814855293
3,12.74203472443153,217.0,57.933708010434245,5.98994866120621,52122.6727493458,1367.5286663134002,0.925,0.925,0.575,0.3875,1.1687127769435188,0.059294067968576114,6.365894150724164,1.1672076801044315,0.9999248188235833,400,0.020173277649223244,2.7826283482390264
4,9.781108411120615,192.0,26.80183323808678,72.7626335039252,39477.57025952359,14457.180946614437,0.9525,0.9525,0.7975,0.7325,0.3661832210685039,-0.01106577701572924,1.325213805845821,0.36601598321814166,0.9997378747111186,400,0.01366261844164222,1.8472676707550066
4,17.152755236163266,220.0,56.00702718585353,12.068957369495754,15796.472644856814,1516.8750679553843,0.9275,0.9275,0.675,0.5575,1.0549334245318986,0.038766216306304654,2.5548834631415187,1.0542209022154188,0.999778074147098,400,0.018835733255957526,1.2364694802116645
3,4.655420138939389,205.0,37.91391905070766,17.781405447633816,146352.22864804603,6802.456212160595,0.9525,0.9525,0.71,0.56,0.8004215259246503,0.00640619902804092,6.647062776120792,0.8003958894057107,0.9998104651585642,400,0.02111154810596428,4.237101419602949
6,3.176350019650224,462.0,22.181776733196973,1.1002341627976666,573571.2160141078,833.2566727736205,0.9325,0.9325,0.845,0.745,3.1700761871415954,-0.03362798423724048,6.664569305751332,3.1698978202709207,0.9538151513703589,400,0.14291353777794089,1.0726814095942736
5,2.1697585633419365,504.0,25.073199857465795,0.3424030039845744,674064.193384479,281.11770270004695,0.9525,0.9525,0.8625,0.7625,6.162080664294538,-0.15904734752948899,17.27522776148808,6.160027764102728,0.8737413822753481,400,0.24576363205830376,1.430820128183103
6,14.674459782736099,476.0,53.31853139060913,8.915305973575526,34328.450350803636,1651.822404136778,0.94,0.94,0.86,0.79,1.0310372909708696,-0.050203784633270555,2.3484494372141236,1.02981429169586,0.9989831302342158,400,0.01933731601528064,1.163499572725312
6,19.302695362852184,588.0,69.92862741873837,10.97977471464003,8400.835745968912,1006.3630344569216,0.8925,0.8925,0.8,0.715,1.3957186250488673,-0.083187647638605,2.492433223955937,1.3932373435953602,0.9993417107950762,400,0.019959188054574407,0.9127300598888329
3,17.692119875542755,148.0,50.85691627439577,8.163313297265706,20009.072598365026,1154.7286585491395,0.9375,0.9375,0.6475,0.435,1.110046848717694,0.035487781933215015,7.520613915990921,1.1094794381517592,0.9998637098011367,400,0.021826861124030712,3.458421836743451
6,18.628023319168335,332.0,16.517582938212193,41.50255330527157,35689.6775764621,7840.542771390427,0.9275,0.9275,0.795,0.7175,0.5151120597487279,0.0390827794221703,1.040894416891783,0.5136272680175916,0.9979834604097704,400,0.03118568023394359,1.033957138016744
3,16.166452766530035,155.0,49.312551090748215,3.640190067354207,20302.139792753103,518.6745839216384,0.915,0.915,0.625,0.4625,1.4886426411493678,0.04874321637076276,9.03385267765238,1.4878444179100174,0.9997880294667006,400,0.030187905679628483,3.0978430631078715
6,32.44489024276324,236.0,43.5666209547636,91.52530045543541,8471.53241774889,8424.073584746882,0.965,0.965,0.8775,0.8125,0.2561535320440378,-0.020620409833992888,0.6942078651460009,0.2553222095253644,0.9998680295232159,400,0.005879582268039767,1.387218475656322
6,2.5492721960752514,268.0,52.8782715555858,0.9143115952074553,623512.6781037647,721.966209827651,0.9625,0.9625,0.91,0.8575,3.228154702981453,-0.20162571623445846,8.931092514783291,3.2218519297035075,0.9852875783341286,400,0.061048793918840695,1.4143045533754874
3,3.487384969598363,175.0,28.84846931095605,0.7957734001464569,310718.37205059046,443.5809478193324,0.9725,0.9725,0.81,0.685,3.2362269312981327,-0.045075976886079595,45.265045574625006,3.235912994375327,0.985450051871261,400,0.11218019564279207,7.136907280141496
