n_T,n_t,dT,N_obs,Ea_true,sigma_y,sigma_lnk,E_het,D_het,E,D,A,c_deg,c_Ea,cond,lambda_min,lambda_max,rmse_Ea,rmse_deg,relerr_Ea,frac_ok
6,6,5.644903369688599,282.0,24.733347509524265,0.03473734766074875,0.02218785199000653,0.3138446524704157,296.60747579767565,0.3213946068222267,189.40197902197667,0.6427873627714077,0.32139460681976245,0.37575233445523376,347289.6619519638,0.3213946068222267,111617.02435647543,4.051788496823666,4.380529541595309,0.16381884802546084,1.0
5,5,8.14252902213602,340.0,46.95434976327637,0.04959379428574277,0.023197923790823742,3.163123348979438,824.24199765709,2.202470986444759,568.3033057132974,4.404875813164429,2.2024709864451046,2.5559343024254577,66579.41460937029,2.202470986444759,146639.2289716144,2.143667512701463,2.3096687209246847,0.04565429025231767,1.0
6,6,2.4758089690655964,540.0,55.63679776322852,0.07601032876192847,0.03029501758354826,0.12648265912825152,134.88161453022465,0.11310247731603985,114.32419584010444,0.2262047332362091,0.11310247731606445,0.13328344785970292,1021720.4251751413,0.11310247731603985,115559.11121170601,10.626744496658022,11.536282788845845,0.19100208717766015,1.0
3,5,14.423078618532916,230.0,36.913829443390085,0.03381528190323531,0.015402617628562711,10.41332054200816,1930.8853168858684,10.127423401974125,1521.9229528838766,20.25394994874194,10.127423401973358,11.945836611628922,22583.299780080422,10.127423401974125,228710.63868658358,1.181860241016923,1.2845447345710095,0.03201673353422699,1.0
4,5,20.435965292754886,235.0,42.368313052669116,0.03423042549055948,0.02056432435847929,18.56663638220047,2274.1477380177657,13.516996811017142,1324.5900758383052,27.031178725650793,13.516996811016668,15.786797072253815,9602.903642654192,13.516996811017142,129802.4179142616,0.8990392089282994,0.9735227201288019,0.021219613058718695,1.0
5,6,9.608888972764339,342.0,67.5044263322512,0.011454565258166332,0.00578192453181135,34.62401123284388,10197.077565966281,26.650555260436157,7284.1792335123955,53.3003970410197,26.650555260442047,31.119400989549007,74704.83709647896,26.650555260436157,1990925.3892615936,0.5720488381823186,0.6183443377930435,0.008474241901808654,1.0
4,5,2.055780317496517,200.0,54.07177644781874,0.035290915854478244,0.019825682527218655,0.09565413021369548,131.92082690992152,0.08809902406574593,103.58099512483037,0.17619792065942685,0.08809902406101967,0.10542811987189317,1382349.8293078789,0.08809902406574593,121783.67087947461,10.104002334833053,11.052981518286758,0.18686277756351852,1.0
3,5,28.791630911601693,180.0,61.51418078633634,0.07489658103329061,0.05179496340989134,3.366351914851447,314.88503552475066,3.2245878254056746,225.96843261817668,6.447862638947279,3.2245878254058558,3.80511780490924,4910.742098848981,3.2245878254056746,15835.119185655534,2.1580144320927395,2.353576454284979,0.03508157638623844,1.0
5,5,54.92174932026687,255.0,65.24400690223787,0.04739521551066274,0.2518735892851171,8.38814265457088,690.3537603934345,0.5769619340115361,23.41432960586355,1.1532236320792746,0.5769619340115411,0.6819594335467037,1646.9072207412808,0.5769619340115361,950.2027752164531,11.420951302078134,12.51124707909277,0.17504981444795958,1.0
5,5,37.1228609628379,440.0,38.102937649792736,0.0053456051913568685,0.002380845122660096,4724.784247787619,331406.51600411657,5161.825285009659,306784.4443614652,10320.728771283819,5161.825285009641,6062.423718338919,3532.3202265828563,5161.825285009659,18233219.860326435,0.06092647075110514,0.06619681236898356,0.001598996678709799,1.0
6,6,13.340455408938208,324.0,67.75478253668808,0.06311290012836863,0.03575185145099416,3.6118395400418346,501.10778682414923,2.543707977584422,358.7932583704465,5.08716026067459,2.5437079775839644,3.0471361734730813,19895.462723047716,2.543707977584422,50608.24724634996,1.7193450490314033,1.8845295424817072,0.02537599538601436,1.0
5,4,15.700121828570342,232.0,48.76450478953053,0.0333155651420542,0.022012974528029805,13.934766432706423,1910.1277504973093,7.8656119278565635,1066.4170040669765,15.73036810002518,7.86561192785593,9.501312254855614,18381.84466064458,7.8656119278565635,144584.4566187725,1.3671728896677335,1.5047298558098847,0.028036230359941194,1.0
6,7,9.897799509077133,630.0,55.60396358252836,0.005745635540850743,0.0021466505869525056,454.6595667848746,118414.51645654828,360.31918776251393,90762.21457162427,720.6270182244845,360.31918776296044,421.7842685038691,63450.549610257396,360.31918776251393,22862450.49865304,0.2209239006493237,0.23911553976785702,0.00397316821347501,1.0
6,5,11.212446841784896,345.0,45.66220153927875,0.006788768728173868,0.0036796148904435235,96.38530483877162,30284.64427964709,78.4788791457793,21514.894879012223,156.95566993776208,78.47887914592187,90.8310012522534,75157.59483400648,78.4788791457793,5898283.801865442,0.33537540752178935,0.3608067235916743,0.007344705165678412,1.0
5,6,21.582726355523743,354.0,20.63049046431555,0.011162012273946136,0.004872223623384057,289.4918811491799,30889.096151122347,324.56002197765457,30957.70802706151,649.0487045087416,324.5600219776432,385.6026541633744,9098.033920159385,324.56002197765457,2952858.0890803766,0.18601039998976296,0.20292657413005755,0.009016285885762346,1.0
5,7,5.4403526994220135,490.0,56.11977930064127,0.041333276830408654,0.016890209708095228,2.750907197689798,1058.3232101955757,1.9951560639468526,764.3605439313881,3.990284940908124,1.9951560639492207,2.381050273359846,146771.852795657,1.9951560639468526,292832.7521219699,2.4615961448920802,2.690236075174159,0.04386325419608256,1.0
5,4,3.3871242569492814,192.0,64.9583463517004,0.018889028953885122,0.01268012555357649,1.029761630453944,817.458203353147,0.6789490236130429,490.63335498731175,1.3578954469269509,0.6789490236226747,0.8063433519435182,522203.5300386173,0.6789490236130429,354549.57684700354,3.3553922086601657,3.6569025493683203,0.05165452012114426,1.0
4,7,12.15108787596915,441.0,61.23866340102747,0.013616604091789301,0.004843386839167883,114.06276567033787,20181.055808112957,125.65340239188606,20074.052751657822,251.2969586527742,125.65340239195753,150.04719717567215,25522.406218126856,125.65340239188606,3206977.178535469,0.3543112117381604,0.3875132102383702,0.005785743712561429,1.0
3,7,17.94640279839311,161.0,67.58832979724511,0.011861888924063499,0.007609163447838438,26.108830634465633,5892.13491968848,39.27794352879525,4277.628264195412,78.54926438137173,39.27794352880013,46.06298430373199,11860.652955212632,39.27794352879525,465862.0569894802,0.5016399925312772,0.5436019673754254,0.0074219912525745535,1.0
6,6,6.0341858030025755,444.0,16.62275324293427,0.06927777099918266,0.030200706303376044,0.8483848494668832,299.66233436187304,0.6609481194300557,249.00652519000613,1.321886925473701,0.6609481194297517,0.7642297428461587,141934.08857139916,0.6609481194300557,93811.06892428524,4.057247798394861,4.362338688451291,0.24407796585198363,1.0
6,6,8.847651995434894,402.0,22.504333368061026,0.013125560422948233,0.006531465647647783,44.93413398312539,11894.090716667873,24.592460374973612,6711.826924625044,49.184260438862985,24.592460374989244,28.68322563462985,74486.4947512122,24.592460374973612,1831806.170639866,0.7321819798325092,0.790838227960181,0.03253515524577363,1.0
4,4,34.182660867017205,152.0,19.31706157486677,0.05308347677544009,0.03673804369731055,5.239407899485792,564.1122864140419,6.778535038925074,473.34763064733437,13.55429044098347,6.778535038924239,7.958090457035685,4876.281003325287,6.778535038925074,33054.04164068517,1.2268666535596868,1.3302338057976724,0.06351207448424508,1.0
